Main Color,Shade Number,Shade Name,Product Slug
Red,1,ANKARA,10ml-bottles
Pink,11,HANOI,blush-colors
Pink,114,SAND ROSE,cube
Pink,114,SAND ROSE*,nude-shades
Blue,115,SKY BLUE,blue-shades
Grey,12,BERLIN,cream-colors
Green,123,EDINBURGH,charming
Pink,13,RIYADH,blush-colors
Nude,132,DUCHESS ROSE,cream-colors
Pink,14,ST-TROPEZ*,10ml-bottles
Pink,14,ST-TROPEZ,pearl-colors
Brown,151,MARRON GLACE,grey-shades
Brown,151,MARRON GLACÉ,cream-colors
Purple,152,MAUVE CENDRE,purple-shades
Purple,152,MAUVE CENDRÉ,cream-colors
Red,156,ROCOCO RED,red-shades
Pink,157,BLUSH PINK,pink-shades
Blue,158,SMOKY BLUE,blue-shades
Pink,16,BAGHDAD,pearl-colors
Pink,16,BAGHDAD*,10ml-bottles
Pink,162,ROSE SHELL,nude-shades
Black,163,BLACK OYSTER*,black-shades
Black,163,BLACK OYSTER,select
Pink,164,ROSE DUST,nude-shades
Nude,165,VANILLA,nude-shades
Green,166,KHAKI VINTAGE,green-shades
Blue,167,CYCLADES BLUE,blue-shades
Pink,168,SOUTH BEACH PINK,cream-colors
Pink,169,WAIKIKI ORANGE,cream-colors
Pink,17,ATHENS,pearl-colors
Pink,17,ATHENS*,blush-colors
Blue,171,BLUE CURACAO,blue-shades
Pink,172,VEGAS PINK,pink-shades
Blue,181,BLUE MINT,blue-shades
Orange,182,FRESH MELON,cream-colors
Red,185,MOSCOW,cream-colors
Nude,186,SAPPORO,cream-colors
Red,187,ROMA,cream-colors
Pink,188,VICTORIA,coral-shades
Pink,189,MONTEVIDEO,burgundy-shades
Pink,19,HONG KONG*,10ml-bottles
Pink,19,HONG KONG,pearl-colors
Pink,190,HONOLULU,cream-colors
Red,2,MADRID,10ml-bottles
Orange,20,CAIRO*,10ml-bottles
Orange,20,CAIRO,pearl-colors
Red,206,FRENCH CANCAN,cream-colors
Silver,213,PURE DIAMOND,sparkly-shades
Pink,215,PINK DIAMOND,cube
Grey,217,NEW YORK,grey-shades
Grey,217,NEW-YORK,cream-colors
Grey,218,MINSK,cream-colors
Blue,219,BLUE SIESTA,blue-shades
White,22,GENEVE*,10ml-bottles
White,22,GENEVE,cube
Pink,225,ROSE NAP,chill-relax
Purple,237,BASEL,eclectic-colors
Blue,238,SAO PAULO,blue-shades
Purple,239,BARCELONA,eclectic-colors
Purple,24,TOKYO,10ml-bottles
Red,240,JASPER,brown-shades
Red,248,BURGUNDY,burgundy-shades
Green,25,COPENHAGEN,cream-colors
Pink,253,PINK ORCHID*,pink-shades
Red,266,SINGAPORE,eclectic-colors
Nude,268,BUDAPEST,eclectic-colors
Blue,269,DEEP BLUE*,blue-shades
Blue,269,DEEP BLUE,pearl-colors
Red,27,MUNICH,burgundy-shades
Pink,283,CORAL BAY,coral-shades
Pink,285,ROSE HILL,pink-shades
Red,286,RED RIVER,red-shades
Blue,287,BLUE MOUNTAINS,blue-shades
Pink,288,GINZA,cream-colors
Purple,29,GLASGOW,pearl-colors
Purple,29,GLASGOW*,10ml-bottles
Red,292,ST-GERMAIN,burgundy-shades
Red,3,PARIS,cream-colors
Purple,30,MEXICO,10ml-bottles
Blue,301,TRINIDAD,blue-shades
Orange,302,JAIPUR,chili-spice
Pink,303,BALI,chili-spice
Green,304,BAMAKO,chili-spice
Purple,305,SAMARKAND,chili-spice
Red,306,CUZCO,chili-spice
Pink,316,FIJI,first-class
Pink,317,TAHITI,coral-shades
Nude,318,SPITZBERG,first-class
Purple,319,BRIGHTON,pastel-fiesta
Brown,32,BANGKOK,pearl-colors
